6574608	/m/0gc5ql	Dil	2003-04-04		138.0	{""/m/09s02"": ""Telugu language""}	{""/m/03rk0"": ""India""}	{""/m/03q4nz"": ""World cinema"", ""/m/04t36"": ""Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/01chg"": ""Bollywood""}
14143964	/m/03cvyy2	Hop Harrigan	1946			{""/m/02h40lc"": ""English Language""}	{""/m/09c7w0"": ""United States of America""}	{""/m/03k9fj"": ""Adventure"", ""/m/01g6gs"": ""Black-and-white""}
21720602	/m/05myxm7	Distant Land				{}	{""/m/0d0vqn"": ""Sweden""}	{""/m/07s9rl0"": ""Drama""}
12202956	/m/02vvqfh	A Friend to Die For	1994-09-26		90.0	{""/m/02h40lc"": ""English Language""}	{""/m/09c7w0"": ""United States of America""}	{""/m/0lsxr"": ""Crime Fiction"", ""/m/015w9s"": ""Television movie"", ""/m/07s9rl0"": ""Drama"", ""/m/05bh16v"": ""Courtroom Drama""}
296997	/m/01rcz0	Love's Labour's Lost	2000-03-31	299792	93.0	{""/m/02h40lc"": ""English Language""}	{""/m/09c7w0"": ""United States of America"", ""/m/0f8l9c"": ""France"", ""/m/0d060g"": ""Canada"", ""/m/07ssc"": ""United Kingdom""}	{""/m/06cvj"": ""Romantic comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/04t36"": ""Musical"", ""/m/01z4y"": ""Comedy"", ""/m/0ftnl_"": ""Jukebox musical""}
21687004	/m/05mr0sv	The Stickpin				{}	{""/m/07ssc"": ""United Kingdom""}	{""/m/02hmvc"": ""Short Film"", ""/m/0lsxr"": ""Crime Fiction""}
31145076	/m/0gh7v_q	Idavela	1982		144.0	{""/m/0999q"": ""Malayalam Language""}	{}	{}
24139924	/m/07kf4qt	Take a Girl Like You	1970-12-16		101.0	{""/m/02h40lc"": ""English Language""}	{""/m/07ssc"": ""United Kingdom""}	{""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}
1864142	/m/06229n	The Beyond	1981-04-29		82.0	{""/m/02bjrlw"": ""Italian Language""}	{""/m/03rjj"": ""Italy""}	{""/m/0jb4p32"": ""Zombie Film"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema"", ""/m/02vn3k"": ""Splatter film"", ""/m/0fdjb"": ""Supernatural""}
17366863	/m/043p2cq	Raptor	2001-11-06		81.0	{""/m/02h40lc"": ""English Language""}	{""/m/09c7w0"": ""United States of America""}	{""/m/06vxwl5"": ""Natural horror films"", ""/m/0qdzd"": ""B-movie"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0h9qh"": ""Monster"", ""/m/03npn"": ""Horror""}
6550694	/m/0g9x2s	Magic Carpet Ride	2006-02-03		114.0	{""/m/02hwyss"": ""Turkish Language"", ""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}	{""/m/01znc_"": ""Turkey""}	{""/m/0vgkd"": ""Black comedy"", ""/m/01z4y"": ""Comedy""}
11709006	/m/02rpp47	Mr. Robinson Crusoe	1932-08-19			{""/m/02h40lc"": ""English Language""}	{""/m/09c7w0"": ""United States of America""}	{""/m/0hj3msd"": ""Adventure Comedy"", ""/m/01z4y"": ""Comedy"", ""/m/01g6gs"": ""Black-and-white"", ""/m/03k9fj"": ""Adventure""}
13383298	/m/03c3jm0	The Black Road	2005		52.0	{""/m/02h40lc"": ""English Language""}	{""/m/0chghy"": ""Australia""}	{""/m/0jtdp"": ""Documentary""}
34508909	/m/0j26g5w	Don	2012			{""/m/01c7y"": ""Bengali Language""}	{""/m/0162b"": ""Bangladesh""}	{""/m/01jfsb"": ""Thriller"", ""/m/02kdv5l"": ""Action""}
3572019	/m/025sskr	Eliminators	1986-01-31		96.0	{""/m/02h40lc"": ""English Language""}	{""/m/09c7w0"": ""United States of America""}	{""/m/07s2s"": ""Time travel"", ""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure""}
2743891	/m/080cw8	License to Drive	1988	22433275	90.0	{""/m/02h40lc"": ""English Language""}	{""/m/09c7w0"": ""United States of America""}	{""/m/0556j8"": ""Buddy film"", ""/m/01z4y"": ""Comedy"", ""/m/02b5_l"": ""Teen""}
5276857	/m/0dc4df	Home Page	1998-10-14		102.0	{""/m/02h40lc"": ""English Language""}	{""/m/09c7w0"": ""United States of America"", ""/m/0345h"": ""Germany""}	{""/m/0jtdp"": ""Documentary""}
25475517	/m/09rxlms	Agni Gundam	1984-11-23			{""/m/09s02"": ""Telugu language""}	{""/m/03rk0"": ""India""}	{""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}
31879389	/m/0gvtfrc	The Shriek	1933-02-27			{""/m/02h40lc"": ""English Language""}	{}	{""/m/02hmvc"": ""Short Film"", ""/m/05p553"": ""Comedy film"", ""/m/0hcr"": ""Animation""}
25737602	/m/09v6hhx	Vincent, François, Paul and the Others	1974		113.0	{}	{""/m/0f8l9c"": ""France"", ""/m/03rjj"": ""Italy""}	{""/m/07s9rl0"": ""Drama""}
4352911	/m/0bypqb	Action of the Tiger	1957		93.0	{""/m/02h40lc"": ""English Language""}	{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}	{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/02n4kr"": ""Mystery"", ""/m/07s9rl0"": ""Drama"", ""/m/0hj3n1c"": ""Escape Film"", ""/m/02qfv5d"": ""Political thriller"", ""/m/02kdv5l"": ""Action""}
31282913	/m/0gj9qdt	Subway in the Sky	1959-11		87.0	{""/m/02h40lc"": ""English Language""}	{""/m/07ssc"": ""United Kingdom""}	{""/m/0lsxr"": ""Crime Fiction"", ""/m/07s9rl0"": ""Drama""}
21369620	/m/05f2yh2	Chadi Jawani Budhe Nu	1976			{""/m/0688f"": ""Punjabi language""}	{""/m/03rk0"": ""India""}	{""/m/01z4y"": ""Comedy""}
18823157	/m/04grvqr	The Migration of the Angel	2001			{}	{""/m/0d0kn"": ""Georgia""}	{""/m/07s9rl0"": ""Drama""}
