23880976	/m/076tl03	The Chinese Stuntman	1982-07-15			"{""/m/0653m"": ""Standard Mandarin"", ""/m/012w70"": ""Cantonese""}"	"{""/m/03h64"": ""Hong Kong"", ""/m/06f32"": ""Taiwan""}"	"{""/m/02kdv5l"": ""Action"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/03k9fj"": ""Adventure""}"	Chang Wei , a stuntman, is called to the secret island owned by the mysterious Fu Chi . Here he competes in a martial arts tournament to investigate the suspicious surroundings.
23881223	/m/076yw7p	Call of the Yukon	1938-04-18		57	"{""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/01g6gs"": ""Black-and-white"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action""}"	The rough hunter Gaston and ladylike Jean travel by dog-sled across the Yukon headed for Nenana. Various mishaps slow their progress and culminate in a log cabin love triangle showdown when the upper class Hugo gets in the picture.
23881451	/m/076zk07	Lovecraft: Fear of the Unknown	2008		90	"{""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/0hj3n9k"": ""Language & Literature"", ""/m/0jtdp"": ""Documentary""}"	The rough hunter Gaston and ladylike Jean travel by dog-sled across the Yukon headed for Nenana. Various mishaps slow their progress and culminate in a log cabin love triangle showdown when the upper class Hugo gets in the picture.
23881530	/m/076yt72	Girl o' My Dreams	1934-11-17		65	"{""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}"	Larry Haines is the track champion, but his success has gone straight to his head. He's popular, and has a pretty girlfriend Gwen. His two friends Spec Early and Bobby Barnes decide that he need to get his head deflated, so they rig the Joe Senior contest so Larry comes second. They make Don Cooper, the discus and shotput thrower, Joe Senior. Don begins to go around with Gwen, much to the dismay of his steady girlfriend Mary. But it soon becomes clear that Mary's not the only thing Don's forgotten about- he's forgotten about his sport too. On the day of the intercollege competition, it's up to the girls to sort out the mess they've made of the boys and spur them on to victory.
23883054	/m/076wvn4	Nasreddin in Bukhara	1943-08-02		86	{}	{}	"{""/m/01g6gs"": ""Black-and-white""}"	Larry Haines is the track champion, but his success has gone straight to his head. He's popular, and has a pretty girlfriend Gwen. His two friends Spec Early and Bobby Barnes decide that he need to get his head deflated, so they rig the Joe Senior contest so Larry comes second. They make Don Cooper, the discus and shotput thrower, Joe Senior. Don begins to go around with Gwen, much to the dismay of his steady girlfriend Mary. But it soon becomes clear that Mary's not the only thing Don's forgotten about- he's forgotten about his sport too. On the day of the intercollege competition, it's up to the girls to sort out the mess they've made of the boys and spur them on to victory.
23883267	/m/076zrn2	Salavat Yulayev	1941		72	"{""/m/06b_j"": ""Russian Language""}"	"{""/m/05vz3zq"": ""Soviet Union""}"	"{""/m/02kdv5l"": ""Action""}"	Larry Haines is the track champion, but his success has gone straight to his head. He's popular, and has a pretty girlfriend Gwen. His two friends Spec Early and Bobby Barnes decide that he need to get his head deflated, so they rig the Joe Senior contest so Larry comes second. They make Don Cooper, the discus and shotput thrower, Joe Senior. Don begins to go around with Gwen, much to the dismay of his steady girlfriend Mary. But it soon becomes clear that Mary's not the only thing Don's forgotten about- he's forgotten about his sport too. On the day of the intercollege competition, it's up to the girls to sort out the mess they've made of the boys and spur them on to victory.
23883849	/m/076y0hl	Running Brave	1983-11-04		105	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0d060g"": ""Canada""}"	"{""/m/01z02hx"": ""Sports"", ""/m/017fp"": ""Biography"", ""/m/07s9rl0"": ""Drama""}"	Larry Haines is the track champion, but his success has gone straight to his head. He's popular, and has a pretty girlfriend Gwen. His two friends Spec Early and Bobby Barnes decide that he need to get his head deflated, so they rig the Joe Senior contest so Larry comes second. They make Don Cooper, the discus and shotput thrower, Joe Senior. Don begins to go around with Gwen, much to the dismay of his steady girlfriend Mary. But it soon becomes clear that Mary's not the only thing Don's forgotten about- he's forgotten about his sport too. On the day of the intercollege competition, it's up to the girls to sort out the mess they've made of the boys and spur them on to victory.
23883858	/m/076zy_g	Unstoppable	2010-10-26	167805466	98	"{""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}"	Larry Haines is the track champion, but his success has gone straight to his head. He's popular, and has a pretty girlfriend Gwen. His two friends Spec Early and Bobby Barnes decide that he need to get his head deflated, so they rig the Joe Senior contest so Larry comes second. They make Don Cooper, the discus and shotput thrower, Joe Senior. Don begins to go around with Gwen, much to the dismay of his steady girlfriend Mary. But it soon becomes clear that Mary's not the only thing Don's forgotten about- he's forgotten about his sport too. On the day of the intercollege competition, it's up to the girls to sort out the mess they've made of the boys and spur them on to victory.
23887068	/m/076w4mr	Black Death	2010-05-26		102	"{""/m/02h40lc"": ""English Language""}"	"{""/m/07ssc"": ""United Kingdom"", ""/m/0345h"": ""Germany""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02n4kr"": ""Mystery"", ""/m/07s9rl0"": ""Drama"", ""/m/02kdv5l"": ""Action""}"	"The story takes place in 1348 in plague-ridden medieval England. Osmund , a young monk, has unbeknownst to his brothers fallen in love with Averill , a young girl who took sanctuary in the monastery. After the plague befalls his monastery, he believes it is no longer safe and sends her home to the forest. She asks him to join her, but he declines on account of his vows, after which she tells him she will wait for him at the edge of the forest by a marker for one week. Soon after, Osmund prays that God will give him a sign, as he wishes to leave to join her. As he is doing so, a group of soldiers enters the Church looking for a guide to a village not far from where Osmund's love Averill was to wait for him. Osmund takes this as a sign and volunteers to lead the knight Ulric  and a group of soldiers to a remote marshland village which has remained untouched by the Black Death. Their quest is to hunt down a necromancer, who is rumoured to be able to bring the dead back to life. Ulric's group consists of the experienced leader Wolfstan ([[John Lynch , Wolfstan's longtime friend Griff , torturer Dalywag , the fearless Mold ([[Johnny Harris , the mute Ivo , and the charismatic Swire . The journey is beset with harrowing pitfalls, as Griff is killed by Wolfstan after revealing he has been stricken with the plague and Ivo is slain in a battle with bandits. Upon reaching the marshes, Osmund only finds bloodied clothing and believes Averill to be dead. Ulric's envoy finds the village, an eerie utopia led by Hob  and Langiva . Not knowing who is the necromancer, Ulric tells the townsfolk he and his soldiers are simply seeking a place to rest. Seeing the church falling into disrepair from lack of use, Ulric is suspicious, but nonetheless accepts an invitation for him and his soldiers to come to dinner. Before dinner, Langiva shows Osmund Averill's body and tells him the villagers found it in the forest. Averill is pale with a wound to her head and appears to have died several days ago. During the dinner, Osmund is lured away by Langiva into the marshes, where he sees her perform a pagan ritual and Averill is brought back to life. Back at the dinner, Ulric and his men begin fading into sleep as they realize their drinks have been drugged. Ulric's band and Osmund awake bound and caged in a water-filled pit. Langiva and Hob offer freedom for those who renounce God. None do so and all boldly vie for who will be executed first. Dalywag is led out to an X-shaped cross and crucified, then disemboweled by Hob. Upon seeing this, Swire offers to renounce God and verbally does so at Hob's prompting, after which he is taken away, hooded with a bag and hanged. Langiva then frees Osmund and directs him to the hut where the resurrected Averill resides. Inside, Osmund sees his beloved Averill incoherent and stumbling, apparently mentally traumatized. Seeing what has become of her as an abomination, Osmund tearfully apologises to her and tells her he will see her again in Purgatory. He then stabs her and watches her die.{{cite news}} Osmund then returns to the cage and lays down the body of Averill. He attacks Langiva by slicing her across her cheek but is struck down and subdued. Reinvigorated, Ulric goads and jeers her that not one of his men will turn from God. In anger, Langiva has Ulric tied between two horses to be dismembered unless he renounces God. As the horses strain his limbs, Ulric reveals that he is sick with the disease, and thus will deliver the plague to these villagers. In the commotion, Langiva does not notice that the knife Osmund slashed her with had landed near the cage when he was struck down. Riveted by the spectacle of Ulric finally being torn into pieces, the villagers are caught unaware as Wolfstan and Mold cut their ropes, escape the cage, and mercilessly cut down all the villagers in revenge for the brutal murder of Ulric and their comrades. During the fight, Mold is killed by Hob, who is subsequently incapacitated by Wolfstan and placed in the device intended for transporting the necromancer. Osmund notices Langiva retreating to the swamp, so he grabs a short sword and follows her into the fog of the marsh. There, she claims to Osmund in an omnipresent voice that Averill had not been dead, but that the villagers had found her and Langiva had drugged her to appear dead, then put on the pagan ritual to ""raise"" her from the dead to convince Osmund of her power. She reveals that she uses this illusion to retain leadership of the village. Osmund returns to the village and Langiva skulks away into the marshes, leaving the viewer unsure whether Langiva was a witch and if her last speech to Osmund was another attempt to make him forsake God. Osmund is then brought home to the monastery by Wolfstan, with Hob to be delivered to the Bishop. In the aftermath, what was left of the villagers are ravaged by the plague; the ""witch"" had not protected the village, rather, the plague had not yet reached the village due to its remoteness. Wolfstan notes there have been rumors that Osmund became a soldier for God and set about hunting down, torturing, and burning women accused of being witches, in a quest to bring Langiva to justice and assuage his guilt. It is not known whether he ever found the true Langiva again or whether he simply sees Langiva in the faces of the women he executes."
23889556	/m/076x7zt	American Casino	2009	46514	89	{}	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/0hj3n07"": ""Culture & Society"", ""/m/0hj3mx7"": ""Business"", ""/m/0hj3n40"": ""Finance & Investing"", ""/m/0cshrf"": ""Political cinema"", ""/m/075fzd"": ""Social issues"", ""/m/0jtdp"": ""Documentary""}"	The film is an anthology of seven vignettes. Each of the stories is connected by the same mysterious locker 13.http://www.imdb.com/title/tt1241226/
23890098	/m/076w2lb	Taxi Blues	1990-09-07		110	"{""/m/06b_j"": ""Russian Language""}"	"{""/m/0f8l9c"": ""France"", ""/m/05vz3zq"": ""Soviet Union"", ""/m/06bnz"": ""Russia""}"	"{""/m/07s9rl0"": ""Drama"", ""/m/03q4nz"": ""World cinema""}"	Shlykov, a hard-working taxi driver and Lyosha, a saxophonist, develop a bizarre love-hate relationship, and despite their prejudices, realize they aren't so different after all.
