24236496	/m/07k76rs	Queen of Cactus Cove	2005-12-11		22	"{""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/02hmvc"": ""Short Film"", ""/m/05p553"": ""Comedy film""}"	Teenage chess champ Billie  faces the prospect of defeat for the first time when she faces her best friend  at the biggest chess tournament of her career.
24236812	/m/07kfbjy	Gumrah	1993		150	"{""/m/03k50"": ""Hindi Language""}"	"{""/m/03rk0"": ""India""}"	"{""/m/01jfsb"": ""Thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/01chg"": ""Bollywood"", ""/m/03q4nz"": ""World cinema""}"	Roshni  is the only child of Sharda Chhadha . Her father, Prakash Chhadha , left before she was born and she has no knowledge of where he went. Roshni is introduced to Rahul Malhotra  and they share a mutual attraction. When he learns that she is an aspiring singer, he assists in her career so she becomes popular. She has a devoted fan named Jaggannath alias Jaggu , who is a petty thief. He is in love with her but she rejects him. During a trip she and Rahul had taken to Hong Kong, she is arrested for trafficking cocaine and Rahul disappears. Jaggu brings an attorney, but she is quickly found guilty and sentenced to death. Jaggu visits the prison and runs afoul of two guards, themselves lovers, who beat him in front of Roshni. The attorney works to help them escape. A fight ensues between Roshni and the female guard in which the latter is killed. The warden intervenes and is killed by Jaggu. They escape and return to India. At the airport Prakash is questioned by the police and Roshni learns that he is her father, and that he had fled the country years earlier when he has been wrongfully accused of treason. Later at Rahul's house, Rahul admits that he had been dealing with drugs that resulted in Roshni's arrest. She slaps him for deceiving her and ends their relationship. With Prakash's blessings, Roshni and Jaggu get married.
24236900	/m/07khxm_	Advantage Hart	2003-10-19		34	"{""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America""}"	"{""/m/02hmvc"": ""Short Film"", ""/m/05p553"": ""Comedy film""}"	When tennis player Shad Hart goes to enter the Mayflower tournament to face his nemesis Colt Skyler, he learns that Skyler's father raised the cost to $500. With the help of friend Blaze and sister Chrystal he raises the money, but the money is stolen.
24237207	/m/07k9rkc	Massacre Time	1966		89	{}	"{""/m/03rjj"": ""Italy""}"	"{""/m/0771_"": ""Spaghetti Western""}"	Nero portarys Tom Corbett, a prospector called back to his hometown by a family friend. Upon his arrival in the town, Tom finds it under the control of a powerful, corrupt family. With the help of his alcoholic brother, Tom sets out to challenge the family and free the town from their rule.
24237235	/m/07k9rks	Lady Moonflower	1976-12-08		70	"{""/m/03_9r"": ""Japanese Language""}"	"{""/m/03_3d"": ""Japan""}"	"{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/02js9"": ""Erotica"", ""/m/01jk9n"": ""Pornographic movie""}"	Kizaki kidnaps Yuriko and engages in a rape and torture session with her, which he photographs. With the photos, he blackmails aristocratic flower arrangement teacher Yumeji, Yuriko's older sister. Rather than allow him to shame her clan by sending the photos to the media, Yumeji goes to Kizaki. Kizaki then proceeds to rape and torture Yumeji, who was his true desire all along. Yumeji escapes from Kizaki at the end of the film.<ref nameWeisser|firstYuko Mihara Weisser|title1998|publisherMiami|isbn226 }}
24237252	/m/07k55vt	Building a Building				{}	{}	"{""/m/02hmvc"": ""Short Film""}"	"Mickey is operating a steam shovel at a construction site. Minnie appears on a cart pulled by Pluto; she is selling box lunches to the workers for 15¢. Mickey accidentally throws dirt from the steam shovel onto Peg-Leg Pete, the foreman, making him angry. Mickey hurriedly brings up a load of bricks in a wheelbarrow, meanwhile Pete sees Minnie and flirts with her. Mickey, distracted by Minnie, accidentally drops the bricks on Pete, who literally shouts out the words ""Blankety blank!"" Finally Mickey himself falls through Pete's blueprint. Pete has had enough and starts to strangle Mickey, but just then it is noon and an anthropomorphic steam whistle sounds ""Lunch!! Lunch!! ..."" Mickey settles down to eat a fish sandwich, but it is stolen by Pete. Minnie offers to give him a box lunch for free . As Mickey is eating the lunch, Pete abducts Minnie from above with a crane. Mickey chases after Pete, and finally wrestles with him high up on the building. Minnie grabs a pan of red-hot rivets and drops them down Pete's pants. This gives the mice enough time to run away as Pete pours water down his pants. In the process of chasing Mickey and Minnie, Pete has an anvil fall on his head and fires rivets at them with a handheld pneumatic hammer. This turns on him when the hammer falls into his pants and gets attached to his peg leg. The mice escape down a chute riding a wheelbarrow, while Pete falls into a cement mixer and accidentally dismantles a large portion of the building. At last Pete fires Mickey. But instead he goes into business with Minnie selling box lunches."
24237314	/m/07k81p3	Requiescant				"{""/m/02bjrlw"": ""Italian Language""}"	"{""/m/03rjj"": ""Italy""}"	"{""/m/0771_"": ""Spaghetti Western""}"	After surviving his family being massacred, a young boy is taken in and raised by a preacher. Years later he comes face to face with the man that killed his family and he is tempted into back into violence.
24237690	/m/07kdsgf	Bran Nue Dae	2010-01-14		82	"{""/m/02h40lc"": ""English Language""}"	"{""/m/0chghy"": ""Australia""}"	"{""/m/06cvj"": ""Romantic comedy"", ""/m/03q4nz"": ""World cinema"", ""/m/04228s"": ""Road movie"", ""/m/04xvlr"": ""Period piece"", ""/m/04t36"": ""Musical"", ""/m/01j1n2"": ""Coming of age"", ""/m/01z4y"": ""Comedy"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/02b5_l"": ""Teen""}"	In Broome in 1965, William 'Willie' Johnson is having trouble wooing his girl Rosie, who ends up with another man. His mother sends him back to boarding school  to continue his education for the priesthood. One night, he and several others steal food from the college kitchen but are caught. Willie admits to being the thief, but runs away before he can be punished. He spends the night on the streets of Perth before meeting up with 'Uncle' Tadpole, who offers to help him get home. They go to Fremantle where Tadpole allows himself to be run over by a Kombi van, hoping that the two hippies inside will help him. Not realising how far it will be to Broome, the hippies, 'Slippery' the German and Annie his girlfriend, agree to drive them. Father Benedictus, head of the College, has seen Willie's potential and determines to locate him; through Tadpole's homeless friends he learns that Willie is heading to Broome. The travellers drive north, stopping at a roadhouse where Willie meets the tarty 'Roadhouse Betty'. Tadpole steals some food, a bottle of wine and an audio tape, nearly causing them to get shot by Betty, but they manage to escape. Slippery becomes disillusioned, and leaves Willie and Tadpole behind in the middle of nowhere; Tadpole curses the hippies by pointing a bone, and the van promptly breaks down. Willie then gets a ride with a passing truck carrying the members of a football team. They end up in Port Hedland where he meets flirty Roxanne, who takes him to the 'condom tree' and offers to 'show him a good time'. But her boyfriend turns up and a fight ensues. Willie is rescued by Tadpole, who says that all young men end up there at some point. Next morning, they are driving along a desert road when a hung-over Roxanne emerges from the back seat, startling everyone. While smoking some pot, they are discovered by police and arrested, despite Annie's attempts at stopping the police from arresting them. At the police station, Slippery reveals that his real name is Wolfgang Benedictus. The police then put them in a jail cell for a night. They are released next morning, and drive on to Broome, where they go to the bar where Rosie is performing. Willie tries to win her back, but ends up in a fight with her new boyfriend Lester, only to be disrupted by a church temperance march, which invites everyone to the beach to testify. Willie tells Rosie he loves her, and they kiss. At the beach, Willie's mother reveals that she had a son to another man, who turns out to be Father Benedictus. Wolfgang is their son. Tadpole is spotted by Willie's mother, and she tells Willie that he is Tadpole's son.
24238313	/m/07kdsj0	Yugandhar	1993-01			"{""/m/03k50"": ""Hindi Language""}"	"{""/m/03rk0"": ""India""}"	"{""/m/02kdv5l"": ""Action""}"	In Broome in 1965, William 'Willie' Johnson is having trouble wooing his girl Rosie, who ends up with another man. His mother sends him back to boarding school  to continue his education for the priesthood. One night, he and several others steal food from the college kitchen but are caught. Willie admits to being the thief, but runs away before he can be punished. He spends the night on the streets of Perth before meeting up with 'Uncle' Tadpole, who offers to help him get home. They go to Fremantle where Tadpole allows himself to be run over by a Kombi van, hoping that the two hippies inside will help him. Not realising how far it will be to Broome, the hippies, 'Slippery' the German and Annie his girlfriend, agree to drive them. Father Benedictus, head of the College, has seen Willie's potential and determines to locate him; through Tadpole's homeless friends he learns that Willie is heading to Broome. The travellers drive north, stopping at a roadhouse where Willie meets the tarty 'Roadhouse Betty'. Tadpole steals some food, a bottle of wine and an audio tape, nearly causing them to get shot by Betty, but they manage to escape. Slippery becomes disillusioned, and leaves Willie and Tadpole behind in the middle of nowhere; Tadpole curses the hippies by pointing a bone, and the van promptly breaks down. Willie then gets a ride with a passing truck carrying the members of a football team. They end up in Port Hedland where he meets flirty Roxanne, who takes him to the 'condom tree' and offers to 'show him a good time'. But her boyfriend turns up and a fight ensues. Willie is rescued by Tadpole, who says that all young men end up there at some point. Next morning, they are driving along a desert road when a hung-over Roxanne emerges from the back seat, startling everyone. While smoking some pot, they are discovered by police and arrested, despite Annie's attempts at stopping the police from arresting them. At the police station, Slippery reveals that his real name is Wolfgang Benedictus. The police then put them in a jail cell for a night. They are released next morning, and drive on to Broome, where they go to the bar where Rosie is performing. Willie tries to win her back, but ends up in a fight with her new boyfriend Lester, only to be disrupted by a church temperance march, which invites everyone to the beach to testify. Willie tells Rosie he loves her, and they kiss. At the beach, Willie's mother reveals that she had a son to another man, who turns out to be Father Benedictus. Wolfgang is their son. Tadpole is spotted by Willie's mother, and she tells Willie that he is Tadpole's son.
24238832	/m/07k5yj9	Meeting Venus	1991-09-18		119	"{""/m/02h40lc"": ""English Language""}"	"{""/m/09c7w0"": ""United States of America"", ""/m/03_3d"": ""Japan"", ""/m/07ssc"": ""United Kingdom""}"	"{""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/0gw5n2f"": ""Japanese Movies""}"	In Broome in 1965, William 'Willie' Johnson is having trouble wooing his girl Rosie, who ends up with another man. His mother sends him back to boarding school  to continue his education for the priesthood. One night, he and several others steal food from the college kitchen but are caught. Willie admits to being the thief, but runs away before he can be punished. He spends the night on the streets of Perth before meeting up with 'Uncle' Tadpole, who offers to help him get home. They go to Fremantle where Tadpole allows himself to be run over by a Kombi van, hoping that the two hippies inside will help him. Not realising how far it will be to Broome, the hippies, 'Slippery' the German and Annie his girlfriend, agree to drive them. Father Benedictus, head of the College, has seen Willie's potential and determines to locate him; through Tadpole's homeless friends he learns that Willie is heading to Broome. The travellers drive north, stopping at a roadhouse where Willie meets the tarty 'Roadhouse Betty'. Tadpole steals some food, a bottle of wine and an audio tape, nearly causing them to get shot by Betty, but they manage to escape. Slippery becomes disillusioned, and leaves Willie and Tadpole behind in the middle of nowhere; Tadpole curses the hippies by pointing a bone, and the van promptly breaks down. Willie then gets a ride with a passing truck carrying the members of a football team. They end up in Port Hedland where he meets flirty Roxanne, who takes him to the 'condom tree' and offers to 'show him a good time'. But her boyfriend turns up and a fight ensues. Willie is rescued by Tadpole, who says that all young men end up there at some point. Next morning, they are driving along a desert road when a hung-over Roxanne emerges from the back seat, startling everyone. While smoking some pot, they are discovered by police and arrested, despite Annie's attempts at stopping the police from arresting them. At the police station, Slippery reveals that his real name is Wolfgang Benedictus. The police then put them in a jail cell for a night. They are released next morning, and drive on to Broome, where they go to the bar where Rosie is performing. Willie tries to win her back, but ends up in a fight with her new boyfriend Lester, only to be disrupted by a church temperance march, which invites everyone to the beach to testify. Willie tells Rosie he loves her, and they kiss. At the beach, Willie's mother reveals that she had a son to another man, who turns out to be Father Benedictus. Wolfgang is their son. Tadpole is spotted by Willie's mother, and she tells Willie that he is Tadpole's son.
